1b	github	midterm	W14	commits
40971220	40971220	75		7
40971227	40971227	77		12
41023201	ruoqinz0421	70		3
41023202	ting0111	75		8
41023203	SHIUN129	70		2
41023204	04yuxan	60		沒有倉儲
41023205	c-ching	70		4
41023206	tseYU000	65		3
41023207	chiiip333	65		6
41023208	ziyi8	70		10
41023209	shui1019	70		5
41023210	viviancrown5158	70		沒有倉儲
41023211	Wmrtbij49h	60		3
41023212	yonqui0411	70		5
41023213	bingyangD	70		2
41023215	jia5177	65		沒有倉儲
41023216	41023216	60		4
41023217	yuwei0000	70		5
41023218	snowfall-killer	40		沒有倉儲
41023219	gu811	75		4
41023220	41023220	75		1
41023221	41023221	75		7
41023222	41023222	80		沒有倉儲
41023223	EHIfish	75		1
41023224	41023224	75		2
41023225	xiaomantou0411	65		2
41023226	41023226	87		24
41023227	ken6003	60		3
41023228	RWE1116	75		10
41023229	CHI1020	70		1
41023230	41023230	70		3
41023231	a88665459	65		沒有倉儲
41023232	YUN4	60		2
41023233	Angus676	70		6
41023234	Maskie-Razzio	80		7
41023235		69		沒有倉儲
41023236	Bored1236	69		5
41023237	www000123	80		10
41023238	41023238	70		4
41023239	a92826	70		3
41023240	YHY30678	60		1
41023241	Yao-Hsien41023241	70		1
41023242	xuhong123	70		沒有倉儲
41023243	kenneth0812	75		3
41023244	liao0219	65		沒有倉儲
41023245	41023245	65		沒有倉儲
41023246	yuchen1031	69		沒有倉儲
41023247	41023247	77		12
41023248	41023248	70		沒有倉儲
41023249	BrianTsai071	60		沒有倉儲
41023250	Ruiiide	60		1
41023251	sdegbsvrtg	80		8
41023252	ZYC0923	65		4
41023253	tzm_falldown	75		沒有倉儲
41023254	41023254	85		15
